image_path,class_name,sha256,original_split,leaf_mapping
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/e332b0b1-ed0c-49b0-aad2-da29a8636126___RS_Erly.B 9418.JPG,Tomato___Early_blight,31bd6904de6b9defab1c254f7ac4bc621d8eafff7fbb94fc86fd90ce5a376e6a,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/84fe717f-2161-43c2-ad2f-ee2678a31e9f___RS_Erly.B 9416.JPG,Tomato___Early_blight,63bb65c40afd2e55671a56cc81016fcfaab27f67640a084a6c5ff0bfb59ff7ac,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/32ae9564-c205-4814-b579-1ebf0d732e7e___RS_Erly.B 9415.JPG,Tomato___Early_blight,eb16a4d65a7aa4f5336336c49c7c09bcf3f8a96ae37fc3aca35d841d22a5afff,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/10c1d7a4-bd14-4961-9b96-c7047589eccd___RS_Erly.B 7552.JPG,Tomato___Early_blight,c33991f4840e275a70a8e7c9ed31da150e3c08b18e5e81ed79d1e0ae453b18b0,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/4aa63e45-c531-40e2-86ca-a788e74d4f18___RS_Erly.B 7549.JPG,Tomato___Early_blight,40a05537d6752086270eb98897131eae67e6cd1302bdebe30d63f3106ec593b2,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/fbe86131-6873-460e-880a-6ee8576b6bc9___RS_Erly.B 7551.JPG,Tomato___Early_blight,c9b91223bcd0dff4971bde8ca741ac147fb10312d40b6b32b82a3d1e28951654,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/a00845f3-9a14-474b-967c-82b7ea7b314f___RS_Erly.B 7550.JPG,Tomato___Early_blight,57224518c0224f69cb7c4d1551ab1a829590e6037ba38772ededa72a5301e000,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/e330dc16-fdf9-4eee-8b09-88bfb5537180___RS_Erly.B 7601.JPG,Tomato___Early_blight,e7609ba69c9666c56a1f20493622c11bc8388e4722338a36c76d16223e16b3e0,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/c410d512-4708-49dd-ba8f-efce2796a3f5___RS_Erly.B 7602.JPG,Tomato___Early_blight,340b6d324df37945b0d8a2f8f00432b6d609c94205383e76da861f64a6d4a1a3,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/6ceca8a9-a257-4238-a779-bdb0dccc528e___RS_Erly.B 7604.JPG,Tomato___Early_blight,ae47222702a4fde93cea0e924fb550136b60303f252dc0c07eee86183f811230,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/bd0f06fb-1f9a-4de8-8c96-926d312cea27___RS_Erly.B 7603.JPG,Tomato___Early_blight,40eae136fad38de366eaa8b9561644a05d86b3f30235c5dd6e7cc25bb9fccb63,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/39da27eb-fde9-474b-bf0a-1374901ed82b___RS_Erly.B 7394.JPG,Tomato___Early_blight,1a47e412f38fd492b579bd5ae6be340023c00aae7170c89bd39f9d5ff55e75df,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/62394305-3fca-4782-ad4a-b5670fcfac61___RS_Erly.B 7395.JPG,Tomato___Early_blight,f94edef640ee5f28165099ebe2a9c278cc67e33e05cf7e191d28eceac33eb581,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/fee744d4-d0e5-439d-8b7b-04f8394251e8___RS_Erly.B 7396.JPG,Tomato___Early_blight,cd8a305b293f851f3ea26fbb519ce994aa8178ed5c1923ab2f08744be829066b,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/6efab540-3bb1-47fd-b55f-ed447305f500___RS_Erly.B 7397.JPG,Tomato___Early_blight,fcc8b5c31ee8b15a2c51b6edda6c58131e26d94bba61335b6aec46af3e4d0aee,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/ee7a6de8-1aca-4a55-8c12-69be6277c1c1___RS_Erly.B 9591.JPG,Tomato___Early_blight,ecf9a33ebb5f63a8efe4ed49ebcca67378584c1c2cdd7b1a0868004f41fc6d4b,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/80c3b18f-a436-47f7-9153-2a24197f6b69___RS_Erly.B 9593.JPG,Tomato___Early_blight,5fa2be5d90c9e334ea09ae4cc72bee7bc1a3c52dae4f2d920541e5314d5bc97a,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/f432e10d-7fd7-4517-b635-cc7677f53d8e___RS_Erly.B 9590.JPG,Tomato___Early_blight,c8cfed801a0489b6c4e12e3ad83efdf6a44232d734ebe0ec1cd03c8dabe30f7b,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/fbb02290-8863-482f-b898-0ea83a2b2fee___RS_Erly.B 9592.JPG,Tomato___Early_blight,340d45585695dc13a65f623f867755c01a9357115f9b5f23c38811b49e451301,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/38685009-d6e6-4b3a-9957-bf049a210cda___RS_Erly.B 7606.JPG,Tomato___Early_blight,e3ad0ab9b6d95a34ecfd56dfad60b4449e15f53641781be21bad6e364a4c75ef,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/eb2537b2-d6fa-4c70-b919-f90bbe2c65f2___RS_Erly.B 7605.JPG,Tomato___Early_blight,50c827f98d89026d70e94d23e23a6cb9739c44cc574b27925cd5107a4430cefa,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/d3b3f060-60d3-4b72-8797-8406fcf2815f___RS_Erly.B 7607.JPG,Tomato___Early_blight,4437a95c3a2742021c5109543cca6de268f3625c50ab5b7c79c33d1eb1505b9d,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/f547a0f4-912a-45ec-81aa-371ad12ecacf___RS_Erly.B 7608.JPG,Tomato___Early_blight,3a5e6ccaa251f8c678fe9c39531380e124cc457ca61924bfe7fd4f2f2eace409,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/b383b96d-13d9-454a-a179-3093e48d8708___RS_Erly.B 7500.JPG,Tomato___Early_blight,61ff43fa37b78057d683f93d5d12f51af129140cd0b321bb7418e0a1d0a3b673,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/bbd73cdc-a2e5-4740-9a66-7e59d0416f25___RS_Erly.B 7502.JPG,Tomato___Early_blight,8d3a39172db3b2db7de89c69fe16400a40173c13cfe7910bc37ab813eacd55c4,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/9664a85d-6c90-46d7-98e6-cbf1b99cc53e___RS_Erly.B 7503.JPG,Tomato___Early_blight,8326f9accaffe0556e95dfc51c131e082ebd49130b223386b2c23251d176ada4,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/b5795f23-792b-47ef-bd5e-5a2a4a01bdc6___RS_Erly.B 7501.JPG,Tomato___Early_blight,b89426ed70961140a83b71714e48e863f8310d2a5a0bf18f57113060275ed43c,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/9cd2e960-3941-4b60-84fb-0ed227c26ed7___RS_Erly.B 7839.JPG,Tomato___Early_blight,0e4d84b549b93425dd81d5e7ca603aa72285b685a31da8c707a1ffa5cc29a7f5,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/e219e45e-3a8e-46dc-9621-9914f42bf3af___RS_Erly.B 7838.JPG,Tomato___Early_blight,a2e1bc98a04d7c0a22210aded6c623308f62e53878ce49827c253c594fd89de7,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/1c9e0f1a-7314-449c-9482-9059684ac82d___RS_Erly.B 7840.JPG,Tomato___Early_blight,279f3186ea39a903ce915d3a96f709967d719e1bdde0ac34c1994372216e1c43,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/8824899d-1dce-4729-860b-336d563bc268___RS_Erly.B 7837.JPG,Tomato___Early_blight,72d4c4b11d7dada9c3b68703677b7670a3e28bbb6b13e573ca0ceb7e768ca8f9,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/5ad16a00-4f2d-4872-a45c-80250b507ecc___RS_Erly.B 9378.JPG,Tomato___Early_blight,42b48ad1860c456a334bdc124e2f8fb900f3adc633b6b0410f0ffff545114c04,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/b06d301b-8cae-475a-9de3-80a42e908ae5___RS_Erly.B 9375.JPG,Tomato___Early_blight,c220fc523680461e364c3a84d41cecebf8060071c4b023cbd2f62c43ad704ee2,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/5d89c2ab-31d9-4f0a-bd00-2c2475b2a037___RS_Erly.B 9377.JPG,Tomato___Early_blight,a9e7fec504439daac7333c6f67f36159ab60d31ceef6412342b4d2f98527d48b,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/2165f0a3-1265-491d-ad8a-e53102a87e9b___RS_Erly.B 9376.JPG,Tomato___Early_blight,ed5b8135aa868f83afa13d7dfc6cbbf51f85e7e33502508ab47f0e87196b4a3e,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/e0f7927f-2310-4db1-92cf-cb89a3e14678___RS_Erly.B 7848.JPG,Tomato___Early_blight,ba07562b3074dc3453f70a4ecee9596f196d12c742c7181b8c083e6275874638,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/b58d7a66-097f-4167-abae-92f865407d90___RS_Erly.B 7845.JPG,Tomato___Early_blight,ea6188cb6dba2fa6bd56065537ec279c305c871d0ad6b550cdcd118a92d60c31,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/8405be22-ecbb-4cec-a87d-e0d454b9926d___RS_Erly.B 7847.JPG,Tomato___Early_blight,6cec5aa00301785bf827d05b56d4fd161e5984003e5e775e44a958103979c4d1,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/64d0749a-a83f-41da-a321-b03d61167454___RS_Erly.B 7846.JPG,Tomato___Early_blight,ffd1decf497cceb6e7e09e8030a7523cca19e5045db45b70f52c297368e04c53,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/95de9f94-ddb1-4303-b3d9-a3ad2b430bbf___RS_Erly.B 9554.JPG,Tomato___Early_blight,a1a47a9476ced3a830cb2dd684be5ef516e34415732e6b1f72ee3ac41c97b220,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/7c4ba770-64bf-4cd5-82ea-c5e2a16d81f3___RS_Erly.B 9556.JPG,Tomato___Early_blight,d1975fb20082bf6d9bb28da7d7141206253d6cf52af61d94942f66d5c445a59e,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/620df2cc-834d-48b9-b9a8-11da26395739___RS_Erly.B 9557.JPG,Tomato___Early_blight,a700ee435add193fb0602ecb56a8ab899447a9e2127fdfb7f4d5de4d2e4bb7cc,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/c03bec63-8b1d-42ef-90d5-5dff0c2455ea___RS_Erly.B 9555.JPG,Tomato___Early_blight,6bd787b43341dcb73131b0475861296822112b6f458642cafc4ac9cbcc905429,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/1d3d164e-43a9-4e0a-9e4f-9c9abab64d88___RS_Erly.B 7824.JPG,Tomato___Early_blight,55d23b2e65c6ff19cb585f0a89b47c49cba609408523f5264e2c93f41c4f3776,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/96aa2fd2-d8dc-4650-9b56-7b0f25f27edf___RS_Erly.B 7821.JPG,Tomato___Early_blight,4c09f8c9dcc51f2346cfda089e098e3e7bf3ef12f4b3ad84ee19c7af2049c5a9,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/3b86d42f-4b22-4bfe-bfa9-ec4567c886dc___RS_Erly.B 7823.JPG,Tomato___Early_blight,52a91b6e9b546a299def21a13bfc98c9d468e1cc82ac20ded371ac9fbfad5aa9,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/8e1c8815-49e0-4be6-a3a5-a426ab6b2445___RS_Erly.B 7822.JPG,Tomato___Early_blight,f63a6acbba5168211947736848c3b075dd1de09e2c9606d2c7d747c63a9b23a6,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/38b7f839-7d01-4062-a858-a64b841b7996___RS_Erly.B 7390.JPG,Tomato___Early_blight,4dd64876521b089ddc3aa636f1e63d81a17df0817453432764bc0862b4c967bf,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/e3b74c49-7e82-4094-8a02-5ae7644a1d00___RS_Erly.B 7393.JPG,Tomato___Early_blight,8cc4e908af69b8d0d188c19e4ea64710f6702f1e142dab9521614db23f862b83,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/21f9a0a5-b145-40e7-8884-df2bb52eb592___RS_Erly.B 7391.JPG,Tomato___Early_blight,374cfbb555120c06a2ce248dda337abd4c096cf75596afbcac110ea55686fb4b,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/6b9b4ddb-9ac0-4da5-9176-24c325bd6037___RS_Erly.B 7392.JPG,Tomato___Early_blight,19fa032e3b4fe8b6b8543e4ed27265814b3f45512db6b2339cf90e1b267aefc5,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/0abc57ec-7f3b-482a-8579-21f3b2fb780b___RS_Erly.B 7609.JPG,Tomato___Early_blight,6298a503cb3d9e5e1d31bfd8c6f59dac37550070f9c313aa7e58f5dc592b744a,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/7b4b71f7-ba45-45b8-80c4-a80ae73b9d0f___RS_Erly.B 7611.JPG,Tomato___Early_blight,f44585e87084c1332c5985668cb92798645d5143eaa922adcdfda98954382a90,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/9249614a-4e74-49af-81ab-f8d0689fdc50___RS_Erly.B 7610.JPG,Tomato___Early_blight,edd89639148272960d60053d0d6861b2e9b790733a88eaec38331e542752b44a,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/d94db5d9-2492-4680-bd2d-8ad66287243d___RS_Erly.B 7612.JPG,Tomato___Early_blight,9063b51cf5c1950c364b07cd7a5802584268c2134f8effdd37e5551d8dd7cf16,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/3a7c19c6-a86d-4127-b00e-600cb0244ac4___RS_Erly.B 6415.JPG,Tomato___Early_blight,ea46c28e9f55a57b7415f0b1f02d15de0f71c3962f26cbfe9c360639bc65ef9b,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/d4e4bce8-d7ca-492b-8dda-69f3e95f4e5a___RS_Erly.B 6418.JPG,Tomato___Early_blight,fa1dce42740370df723199e14fbcde046813c04d2d6dc897749accb3919ab71a,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/0f03a09c-aa48-4d51-95e1-752c466c3742___RS_Erly.B 6413.JPG,Tomato___Early_blight,e1cf590506f66101b6e7282e967d9b82abf1e43a44e9f23aab3df710e635bc23,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/d0b75b16-bdf9-4e9d-bac9-47bf98c6258a___RS_Erly.B 6416.JPG,Tomato___Early_blight,dbd79f21356edfe86b5e7b83d8db724796ece5d04446376bdab5a1066cd6c205,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/248f220e-56ac-43f1-8f17-641ed4637138___RS_Erly.B 7802.JPG,Tomato___Early_blight,523c9fc357b1d30b221fe7faf315370af28fcb3c85c228c1726ddb13501b96e0,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/7de91b8f-80f1-41bc-af89-2cf58a89276b___RS_Erly.B 7805.JPG,Tomato___Early_blight,3fb549e83ffff13361bf985a5576b4d7b269bbe32a405476666d4d42087a5748,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/e3aef05b-9ed6-421c-a44d-82a996b3e3bb___RS_Erly.B 7803.JPG,Tomato___Early_blight,b59f107e9433149cc9e2afb71fbe493adc8d16ceae665ef2dc7ce93b99e54542,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/8734e1ef-fb0c-4cdd-aa97-b5a4ea8d6cf5___RS_Erly.B 7804.JPG,Tomato___Early_blight,1bf6a48223c155cff5c9b18c355c4552d1d64a44af409054f3b427d79f97f53c,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/c882c715-ae30-410e-9585-bd7061cf44a4___RS_Erly.B 7734.JPG,Tomato___Early_blight,c768925d82e7337678803d2926192796ea1354cadc4e4787ead3e73a5cd9124f,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/b450abe9-9282-42a8-af4d-3fa7da258f40___RS_Erly.B 7735.JPG,Tomato___Early_blight,f119dc1a7e60cce00bb6c1884d1d349726e0fa27142e3130d9b601de42e12800,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/4deeae7f-b339-4d5b-969c-b69ea27c1636___RS_Erly.B 7736.JPG,Tomato___Early_blight,b427ab023a5ff60b4fdd8152b2861d56ec3c082b9c7ffae0d0109059c24f54bb,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/f59545f4-cded-405a-bf6f-f4b77e51e2ff___RS_Erly.B 7737.JPG,Tomato___Early_blight,f39792c666f5bd11db346429a6f0fa48c767a14df3c10fe4a56226b74d58b58b,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/74c0d66d-a12d-4b9d-9f24-e283b8273a7e___RS_Erly.B 8302.JPG,Tomato___Early_blight,fab0d035a9c831696c1137e4e41b422f422d83915261edf3ba7625198f20b53f,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/3271f296-5264-4600-94e0-bde6cf1a2b42___RS_Erly.B 8300.JPG,Tomato___Early_blight,1f1e9f981431a2a78a0a12f1ad6281ad1c2bfcf288364998f351f37bd3967a16,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/0bed4d68-b82c-4e96-bbfe-e0fc10df01aa___RS_Erly.B 8301.JPG,Tomato___Early_blight,3a91cd088072abcc876be62ae6982146022ee562bd3f48885a77fb525c7c071f,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/a7782a03-c8c5-459a-af4c-fbca70cea302___RS_Erly.B 8303.JPG,Tomato___Early_blight,3b57870ea850f6dbcceb96eeb1dec0373bd380a635bb2c258455f3b772a2de0f,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/5688c1fd-cd1f-4fb5-9e0b-d12c0c095023___RS_Erly.B 9511.JPG,Tomato___Early_blight,2ced8c99e55c93d66be59523237281b3dbf15126205261b6b6aea25218500f95,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/b2b63d7c-d8f7-44ff-b53e-6214ddbed5d9___RS_Erly.B 9509.JPG,Tomato___Early_blight,a0a3affbba48c637901442b88ac3d170b7ac12b88885a001635652702819101f,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/dc5fc62b-20c7-441b-bd70-aa24790302eb___RS_Erly.B 9510.JPG,Tomato___Early_blight,68f0666ae4606e44e4befbab748935f51d59d5593dba561f3a2fc3468ce0420d,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/dc4cc3e3-0181-48e9-93a2-7c019df0e04b___RS_Erly.B 9513.JPG,Tomato___Early_blight,d5917760683a6b3ed8424e37f8dcfaa4551f3a7f99ffa671ee372d7b8bf07495,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/ea08bf85-06df-41d8-8b09-29feb53cdccf___RS_Erly.B 7486.JPG,Tomato___Early_blight,bed0f39d966ff1eefbbd3efb2010c89f0c072f680c4a65b9d3e86c1265b0ee4e,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/65bc0e3e-39a0-4fde-a9b3-65d2dd7dd63e___RS_Erly.B 7485.JPG,Tomato___Early_blight,7601aff3f3ff6d62d073930ce6612eff907d9746f1c2a70367414fd8bfedbabe,train,KNOWN
datasets/raw/tomato/plantvillage_color/Tomato___Early_blight/872ec950-8238-4f73-a366-f72f2f92d3fe___RS_Erly.B 7487.JPG,Tomato___Early_blight,aeb2e0f7722376032ad15b0e9decb02370c2e348f53308fcd808cde1f266d3de,train,KNOWN
