image_path,class_name,sha256,leaf_group_id,leaf_number,mapping_status,mapping_method,mapping_source,physical_leaf_identity_verified,split,split_unit_id,split_unit_type
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\095f2dd4-7e65-44ab-a867-c5d9634ec532___GCREC_Bact.Sp 3801.JPG,Tomato___Bacterial_spot,cc552f580e115e79ef8414a37cc32347ffc4c4ab31378175bd2edb373685c9bb,Tomato___Bacterial_spot::leaf::213.0,213.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::213.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\09ebe433-a21f-4ffe-9954-e3ce4347143f___UF.GRC_BS_Lab Leaf 1084.JPG,Tomato___Bacterial_spot,67480077f67f0d3333fa04d3797141cc1a1bf9462357cddf0ce13280ff0803a4,Tomato___Bacterial_spot::leaf::490.0,490.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::490.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\0afe3bbd-b18b-4c70-8fbd-072844e742a2___GCREC_Bact.Sp 3434.JPG,Tomato___Bacterial_spot,f9e8457aa265b25c496ce2d433bdae7b81717e40fb424cbc164e3bd67f6cc2aa,Tomato___Bacterial_spot::leaf::123.0,123.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::123.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\0b37769a-a451-4507-a236-f46348e3a9ac___GCREC_Bact.Sp 3265.JPG,Tomato___Bacterial_spot,66541233edb9a1feb0bb3c7ac9a3cdfb66048cdc926282086345b99ce92eac18,Tomato___Bacterial_spot::leaf::80.0,80.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::80.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\0da838ea-fd8c-43c0-a437-4aba96234262___UF.GRC_BS_Lab Leaf 8770.JPG,Tomato___Bacterial_spot,76fbda5d78ab46a3be0c7f23ebb5f608b262efb89093f84b0856238cce9a36b0,Tomato___Bacterial_spot::leaf::504.0,504.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::504.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\0ed6d8f5-dd9f-4f1d-a33d-2f556be12a27___UF.GRC_BS_Lab Leaf 0291.JPG,Tomato___Bacterial_spot,88f3aa63e6d8b5c8b9748fc4af4c291a5e5997cf1df6b70895d7b941cf10136a,Tomato___Bacterial_spot::leaf::449.0,449.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::449.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\0f1d337f-e8c5-445a-83a0-b89915eacb72___UF.GRC_BS_Lab Leaf 0435.JPG,Tomato___Bacterial_spot,f404ea9cd6b90e15ec825c63a06beebf0f4ff68236b7be47e05c77e5169089f9,Tomato___Bacterial_spot::leaf::463.0,463.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::463.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\0ff228a7-60f4-47f0-b1a3-96969a63105f___GCREC_Bact.Sp 6056.JPG,Tomato___Bacterial_spot,2a916cd284f85d8c13960103cc0799514d5b1ae18b58464972fd719fb08022e4,Tomato___Bacterial_spot::leaf::356.0,356.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::356.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\11fedfbc-52be-4032-b884-3b2071db6590___GCREC_Bact.Sp 3060.JPG,Tomato___Bacterial_spot,d24d844f72cc470b206d405d8824cddcf5512207f0433bf8325799b13500ffd7,Tomato___Bacterial_spot::leaf::29.0,29.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::29.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\12071472-8b0f-494e-994e-8abff2082ec4___GCREC_Bact.Sp 6130.JPG,Tomato___Bacterial_spot,0a3bfb73638d7561fbb7f79895ea624c0b89e459deaec77ff43260f5110a18c7,Tomato___Bacterial_spot::leaf::374.0,374.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::374.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\12440deb-4c37-42ed-a6ea-dcb018b52620___GCREC_Bact.Sp 3436.JPG,Tomato___Bacterial_spot,a53717ba74c3baaf54bab62ae4cd494aa86da3af7c613da4da85bba3d81bb9d5,Tomato___Bacterial_spot::leaf::123.0,123.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::123.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\12f5fc61-6113-4baa-b1d4-c619bc895323___GCREC_Bact.Sp 3262.JPG,Tomato___Bacterial_spot,9a14704dd4ff08743a93ba8b61018b4143482c4f9fbaa6534e59b3fe4506b6a9,Tomato___Bacterial_spot::leaf::80.0,80.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::80.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\1347d766-5747-4d71-b05f-0211e79930b4___GCREC_Bact.Sp 6227.JPG,Tomato___Bacterial_spot,542d2923b8a8e8075dec5aacad930f0420ab5338d6af48c1011b602224e0bdf0,Tomato___Bacterial_spot::leaf::398.0,398.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::398.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\137ffef0-7f3d-4610-82f5-f59f9826b926___UF.GRC_BS_Lab Leaf 9109.JPG,Tomato___Bacterial_spot,58911efbb7137661da657fc6e179ad29bfedcfc4c3810641e19bb00a8d4fbd86,Tomato___Bacterial_spot::leaf::521.0,521.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::521.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\140ee344-ae36-403a-ace1-21d45f67ce57___GCREC_Bact.Sp 2969.JPG,Tomato___Bacterial_spot,e4903f5622a77292c445f7587a08a6304046fb3d0e65ce9de59fe872564a57cf,Tomato___Bacterial_spot::leaf::6.0,6.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::6.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\1506485f-0fba-4e0a-aecf-36f9c5bae096___GCREC_Bact.Sp 5543.JPG,Tomato___Bacterial_spot,68b7c6ee78fc508006645f1be8d869c4245998a3cff3c9edf002fce1030c8114,Tomato___Bacterial_spot::leaf::229.0,229.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::229.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\160c389d-886b-433a-a18b-842c45b2f20c___GCREC_Bact.Sp 5743.JPG,Tomato___Bacterial_spot,e96aa99ba2fde5ac43037526b58dbc02d4b4cdf543de25c2c895567b7de91215,Tomato___Bacterial_spot::leaf::279.0,279.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::279.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\177b313d-c3e5-417f-b17b-d945ca4e48ea___GCREC_Bact.Sp 5687.JPG,Tomato___Bacterial_spot,9b5cb4a85d5fa789a93cd42a9c4756e9c248db74998a4fc614fc4702da7a45c7,Tomato___Bacterial_spot::leaf::265.0,265.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::265.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\18f8073d-e27b-4b3c-b6c3-0440adc8acfa___GCREC_Bact.Sp 6068.JPG,Tomato___Bacterial_spot,7311376372e83e575924cc3d93636c3f2cc087e6dc71d2cd46abbde133f846bc,Tomato___Bacterial_spot::leaf::359.0,359.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::359.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\1917515d-7e2f-479c-afec-95b4d3ae07e8___GCREC_Bact.Sp 5607.JPG,Tomato___Bacterial_spot,3558a3ac8bf226e02f99f82803922725bcb6d30d085ea6383422fd4cf2d730a5,Tomato___Bacterial_spot::leaf::245.0,245.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::245.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\191ae7fa-8ca5-4654-a01d-c4f497bb7377___UF.GRC_BS_Lab Leaf 0615.JPG,Tomato___Bacterial_spot,73ab362a1438af6a092f2c19fed3f3c2c8fb34878ea4593f45284e887ab372d1,Tomato___Bacterial_spot::leaf::472.0,472.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::472.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\1a067cc9-cf70-41a5-a51c-aa0f6b8a936d___UF.GRC_BS_Lab Leaf 0327.JPG,Tomato___Bacterial_spot,c1f3d243cd42a0819a4608b110bf46b3b94df48dfba673283522b03270da87ec,Tomato___Bacterial_spot::leaf::452.0,452.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::452.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\1a50d84b-c015-45ea-a041-500d5adcc339___UF.GRC_BS_Lab Leaf 8773.JPG,Tomato___Bacterial_spot,2e001949013eb06b64692decd1d4e66541f1eb074018775a12cafa2143e8666f,Tomato___Bacterial_spot::leaf::504.0,504.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::504.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\1c286bba-a5c0-466f-a52d-960d300d135f___GCREC_Bact.Sp 6077.JPG,Tomato___Bacterial_spot,f140f88d8f8d39f2ca88888047e5b31e72a6b13320c4273247a7b08f72392779,Tomato___Bacterial_spot::leaf::361.0,361.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::361.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\213539dc-f50d-4f98-a380-4fcfc575d208___UF.GRC_BS_Lab Leaf 9122.JPG,Tomato___Bacterial_spot,1052807cc3ce951f15f12982109fd97ae201b2402976a4d68c119e90c9c3eff2,Tomato___Bacterial_spot::leaf::521.0,521.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::521.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\21b0722c-abfd-4aab-88cb-646b6e284cbf___UF.GRC_BS_Lab Leaf 8683.JPG,Tomato___Bacterial_spot,40ba51a64fcc443f4d8aef355dceac4e84edd12d74802f693482ee081b01b314,Tomato___Bacterial_spot::leaf::500.0,500.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::500.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\2224e59e-d71f-4d3e-8d48-7dc90551aeb1___UF.GRC_BS_Lab Leaf 0251.JPG,Tomato___Bacterial_spot,9623ed81ee9078dbd416bc52a7560674728cf420b220022ab1423afd7b995d5a,Tomato___Bacterial_spot::leaf::444.0,444.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::444.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\2279def6-9a9e-43cd-8f35-9111fa81ab13___GCREC_Bact.Sp 5952.JPG,Tomato___Bacterial_spot,19f58d66befdb8fe94164e5d4bf46a5dba772f12d3960047a3c517dc5a5324de,Tomato___Bacterial_spot::leaf::330.0,330.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::330.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\227f113b-8511-4d2f-a591-8e5d01e896dd___GCREC_Bact.Sp 6384.JPG,Tomato___Bacterial_spot,f0c8ce131a13124781f533530ff7c3c7d13460a3a1bbb304e4058a3952de1073,Tomato___Bacterial_spot::leaf::436.0,436.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::436.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\228ee04a-62e3-4fad-a457-62eb8b1472ee___UF.GRC_BS_Lab Leaf 0436.JPG,Tomato___Bacterial_spot,fdac45e13ff2c4f5fcee608029a6ce0f645f88b6bc315ff62d330b31eac421d1,Tomato___Bacterial_spot::leaf::463.0,463.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::463.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\259e3235-f6f5-4d2a-8fb6-f63f3446d2f9___GCREC_Bact.Sp 6282.JPG,Tomato___Bacterial_spot,9322d31400ece1964543b4cf7992016fb6499dafb011010fbb7efaee462bd4f2,Tomato___Bacterial_spot::leaf::412.0,412.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::412.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\25a52867-003f-4390-a80d-03c63c038e9a___UF.GRC_BS_Lab Leaf 0341.JPG,Tomato___Bacterial_spot,4fd92f803351f227d0d338291427e29c957d15c63e0ee5cb1b01f3ef9755cbb1,Tomato___Bacterial_spot::leaf::454.0,454.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::454.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\25a8ea2f-8337-4b4b-8e2d-2110ee2b89ff___GCREC_Bact.Sp 5688.JPG,Tomato___Bacterial_spot,11a7d613ad749e654aa2ecb70d5cb18233737eb666189d7f76dcf7e80d15ea12,Tomato___Bacterial_spot::leaf::265.0,265.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::265.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\25a94cb1-a32d-4da4-a379-4d5732fb6f5e___GCREC_Bact.Sp 3615.JPG,Tomato___Bacterial_spot,91f6c47241274576a7c16f5ce8142df2316bda288ebbe6ad588b860e3e34edb6,Tomato___Bacterial_spot::leaf::167.0,167.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::167.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\2642e2b0-d2d8-49ea-b9c3-44133f863169___GCREC_Bact.Sp 5660.JPG,Tomato___Bacterial_spot,c89f392f580ba5c2e332c8ba2868bfcee133fcb97094bf6abfea8aefd8e49e72,Tomato___Bacterial_spot::leaf::258.0,258.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::258.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\26cabbbf-57e1-42a5-9fdc-e819b4b02d39___GCREC_Bact.Sp 3437.JPG,Tomato___Bacterial_spot,884689b56e5f95354bccde3be9adcdeca57e36f7f4f25ff9e9f3f42f5658ca8b,Tomato___Bacterial_spot::leaf::123.0,123.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::123.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\27753ef8-a51a-4414-970d-c26419c6e13a___GCREC_Bact.Sp 3252.JPG,Tomato___Bacterial_spot,e7332500ab592db561fd4a1eefc19516c437e29465b444dae1985601fbf37035,Tomato___Bacterial_spot::leaf::77.0,77.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::77.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\283cf780-42c2-42ed-860a-29e7991c4e57___GCREC_Bact.Sp 5730.JPG,Tomato___Bacterial_spot,0bdd0f0975de75837b106fda0d3aba2ec8a6709365ac43ffc40922fd3c8d1467,Tomato___Bacterial_spot::leaf::275.0,275.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::275.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\2b011bd3-107c-4a83-b961-eb7131d2a76a___UF.GRC_BS_Lab Leaf 0281.JPG,Tomato___Bacterial_spot,cc421619ad5e7c1542a187d4a6b74ea5daa33749d66df723749840f807183b27,Tomato___Bacterial_spot::leaf::448.0,448.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::448.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\2c11cd9f-5a64-49eb-91ba-63a7188c8eb7___GCREC_Bact.Sp 5926.JPG,Tomato___Bacterial_spot,aac07914a9e4fc217cdd40d567b4f1c8aa6ad62114bc270e453d7e8ab5c48849,Tomato___Bacterial_spot::leaf::324.0,324.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::324.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\2c8b59b4-05b2-4234-aa0d-15a52e624e52___GCREC_Bact.Sp 3027.JPG,Tomato___Bacterial_spot,ad9b63539d7ba3b077e12b4382a7cde9f8296ae95e59cb5abace0491bfb137ba,Tomato___Bacterial_spot::leaf::21.0,21.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::21.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\2cafa053-4dd6-4528-bb4f-53e4afeecefe___GCREC_Bact.Sp 2968.JPG,Tomato___Bacterial_spot,1822bdc4a2acdd2361a76d2756bed9efffe18fa1408d968425450b45433128ea,Tomato___Bacterial_spot::leaf::6.0,6.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::6.0,METADATA_LEAF_GROUP
datasets\raw\tomato\plantvillage_color\Tomato___Bacterial_spot\2cd0bf74-c7ca-4b2f-87e4-1ba003e8b944___GCREC_Bact.Sp 3414.JPG,Tomato___Bacterial_spot,ee63dfb140fb9e8b7cac3ab75802a8b96872b34d6f850213e8ac496a4cc93a80,Tomato___Bacterial_spot::leaf::118.0,118.0,METADATA_DERIVED,UUID_STRIPPED_EXACT_STEM,Tomato_Bacterial Spot Bacteria.csv,false,test,Tomato___Bacterial_spot::leaf::118.0,METADATA_LEAF_GROUP
